Flux Redshift and uncertainties
-,z,+
0.008775525456099942,0.38,0.008775525456099942

Best Fitting Parameters for the Flux Plot
Parameter,Value,Uncertainty
amplitude,0.7916647703874683,6.131152777483537
standard deviation,0.6666666666665286,1.7993562192008317

Redshift,Chi-squared
0.0,0.24580156683985305
0.01,0.2962867456439593
0.02,0.2965102365359248
0.03,0.29582125297134115
0.04,0.2958197545406295
0.05,0.2949691264418335
0.06,0.2938474431577017
0.07,0.29428583248920404
0.08,0.2963135849012592
0.09,0.2934188890645281
0.1,0.29643218305980806
0.11,0.29634948133342415
0.12,0.29651023653437275
0.13,0.2966610657842221
0.14,0.29366929879143383
0.15,0.29631924734916415
0.16,0.29716607354863295
0.17,0.29605015646459476
0.18,0.29554673363466005
0.19,0.29577197684888085
0.2,0.2959707457009986
0.21,0.29393901640120995
0.22,0.28776660643364765
0.23,0.29625704645122575
0.24,0.2934441948160073
0.25,0.29352056829142054
0.26,0.29651023653461317
0.27,0.29221988772819324
0.28,0.2940469690058865
0.29,0.2975469870464685
0.3,0.29757148996429306
0.31,0.28868807769143084
0.32,0.2900063613419677
0.33,0.28875074772117865
0.34,0.29623650393730255
0.35000000000000003,0.2986924343822188
0.36,0.29679446098098594
0.37,0.23931668111895338
0.38,0.23879469111663354
0.39,0.24505356397306438
0.4,0.24580156683778367
0.41000000000000003,0.24580156683985172
0.42,0.24580156683985172
0.43,0.24580156683985172
0.44,0.24580156683985172
0.45,0.24580156683985172
0.46,0.24580156683985172
0.47000000000000003,0.24580156683985172
0.48,0.24580156683985172
0.49,0.24580156683985172
0.5,0.24580156683985172
0.51,0.24580156683985172
0.52,0.24580156683985172
0.53,0.24580156683985172
0.54,0.24580156683985172
0.55,0.24580156683985172
0.56,0.24580156683985172
0.5700000000000001,0.24580156683985172
0.58,0.24580156683985172
0.59,0.24580156683985172
0.6,0.24580156683985172
0.61,0.24580156683985172
0.62,0.24580156683985172
0.63,0.24580156683985172
0.64,0.24580156683985172
0.65,0.24580156683985172
0.66,0.24580156683985172
0.67,0.24580156683985172
0.68,0.24580156683985172
0.6900000000000001,0.24580156683985172
0.7000000000000001,0.24580156683985172
0.71,0.24580156683985172
0.72,0.24580156683985172
0.73,0.24580156683985172
0.74,0.24580156683985172
0.75,0.24580156683985172
0.76,0.24580156683985172
0.77,0.24580156683985172
0.78,0.24580156683985172
0.79,0.24580156683985172
0.8,0.24580156683985172
0.81,0.24580156683985172
0.8200000000000001,0.24580156683985172
0.8300000000000001,0.24580156683985172
0.84,0.24580156683985172
0.85,0.24580156683985172
0.86,0.24580156683985172
0.87,0.24580156683985172
0.88,0.24580156683985172
0.89,0.24580156683985172
0.9,0.24580156683985172
0.91,0.24580156683985172
0.92,0.24580156683985172
0.93,0.24580156683985172
0.9400000000000001,0.24580156683985172
0.9500000000000001,0.24580156683985172
0.96,0.24580156683985172
0.97,0.2458015668398523
0.98,0.24580156683985172
0.99,0.2458015668400229
1.0,0.24580156683985305
1.01,0.29651023652875796
1.02,0.2962867456439593
1.03,0.29651023653438585
1.04,0.2965102365359248
1.05,0.29651023653469866
1.06,0.29582125297134115
1.07,0.2965006436349052
1.08,0.2958197545406295
1.09,0.29411325778694813
1.1,0.2949691264418335
1.11,0.29437794288541225
1.12,0.2938474431577017
1.1300000000000001,0.2933847587278196
1.1400000000000001,0.29428583248920404
1.1500000000000001,0.2967570376180698
1.16,0.2963135849012592
1.17,0.295696733786178
1.18,0.2934188890633786
1.19,0.2945513733253944
1.2,0.29643218305980806
1.21,0.2962832677311299
1.22,0.2963494813336354
1.23,0.29651094220441115
1.24,0.29651023653437275
1.25,0.29651023656237313
1.26,0.2966610657842221
1.27,0.29471289393857114
1.28,0.29366929879143383
1.29,0.29481431676334974
1.3,0.29631924734916415
1.31,0.2957789611007686
1.32,0.29716607354923397
1.33,0.29720219046155794
1.34,0.29605015646459476
1.35,0.29516459985012683
1.36,0.29554673363358214
1.37,0.2960506256426185
1.3800000000000001,0.29577197684888085
1.3900000000000001,0.2941046426253108
1.4000000000000001,0.29597074570069876
1.41,0.2925907461128596
1.42,0.29393901640120995
1.43,0.2898433231548242
1.44,0.28776660643364765
1.45,0.29119326465476086
1.46,0.29625704645122575
1.47,0.2951288734724835
1.48,0.2934441948160073
1.49,0.29036202217141954
1.5,0.29352056829142054
1.51,0.29576977093856854
1.52,0.29651023653461317
1.53,0.29472576504564496
1.54,0.29221988772819324
1.55,0.2915004137723825
1.56,0.2940469690058865
1.57,0.29645815611115256
1.58,0.2975469870464685
1.59,0.29808683518843554
1.6,0.29757148996429306
1.61,0.29445239684786484
1.62,0.28868807769143084
1.6300000000000001,0.29212151146029086
1.6400000000000001,0.2900063613419677
1.6500000000000001,0.2875403310412357
1.6600000000000001,0.28875074772117865
1.67,0.29285057110082635
1.68,0.2962365039343492
1.69,0.29780907747768265
1.7,0.2986924343822188
1.71,0.29904940944373276
1.72,0.29679446098098594
1.73,0.2909746332341716
1.74,0.23931668111895338
1.75,0.23879848799353334
1.76,0.23879469111663354
1.77,0.24251762248853864
1.78,0.24505356397306438
1.79,0.24569491240278
1.8,0.24580156683778367
1.81,0.24580156683985063
1.82,0.24580156683985172
1.83,0.24580156683985172
1.84,0.24580156683985172
1.85,0.24580156683985172
1.86,0.24580156683985172
1.87,0.24580156683985172
1.8800000000000001,0.24580156683985172
1.8900000000000001,0.24580156683985172
1.9000000000000001,0.24580156683985172
1.9100000000000001,0.24580156683985172
1.92,0.24580156683985172
1.93,0.24580156683985172
1.94,0.24580156683985172
1.95,0.24580156683985172
